"year","station","length","age","strata2","month","day","avgdepth","region","cruise6","lat","lon","depth","stratum","regf","area"
1982,112,80,3,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,120,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,125,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,81,3,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,100,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,106,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,113,192,28,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,156,7,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,119,5,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,121,5,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,182,14,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,160,26,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,173,18,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,154,8,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,159,7,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,113,154,7,"13",8,2,22,"SVAtoSNE",198204,38.25,74.7833,21,"3S","SVAtoSNE","SVAtoSNE"
1982,114,173,9,"13",8,2,31,"SVAtoSNE",198204,38.2833,74.65,31,"3S","SVAtoSNE","SVAtoSNE"
1982,114,167,8,"13",8,2,31,"SVAtoSNE",198204,38.2833,74.65,31,"3S","SVAtoSNE","SVAtoSNE"
1982,114,146,7,"13",8,2,31,"SVAtoSNE",198204,38.2833,74.65,31,"3S","SVAtoSNE","SVAtoSNE"
1982,114,152,7,"13",8,2,31,"SVAtoSNE",198204,38.2833,74.65,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,161,37,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,164,21,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,160,7,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,171,14,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,170,25,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,162,7,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,174,23,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,177,8,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,190,9,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,162,31,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,175,14,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,162,7,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,173,9,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,177,18,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,171,23,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,174,30,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,160,20,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,165,28,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,185,16,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,168,32,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
