Date,Time (approx),Sample ID,Site,Shell treatment,Stratum,Collection type,Water/Sed  Temp,pH temp,Salinity,DO_mg_L,pH_total_scale,pH_NBS,DIC ,Field Alkalinity,MMA Alkalinity,Lab Alkalinity,Alkalinity,Data Flag,Flag comment,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),pH_questionable_BW,pH_total_scale_final,pCO2_final,Omega_Ar_final,Calculation method,Note
6/2/2022,,,Provincetown,No shell,Bottom water,No Shell,16.8,17.6,31.67,8.17,7.973,,1977.30,,,2103.55,2103.55,NBS,pH converted to total scale from NBS (8.109),7.844,647.8,1.61,7.985,442.1,1.98,7.985,453.1,2.03,,7.985,442.1,1.98,pH/ALK,
6/15/2022,,,Provincetown,No shell,Bottom water,No Shell,18.1,19.3,32.45,7.39,7.692,,2803.51,,,,,Bad,Low pH and high DIC no Alk- all CO2Sys outputs bad,,,,,,,7.706,1714.5,1.36,7.706,,,,bad,
7/1/2022,,,Provincetown,No shell,Bottom water,No Shell,21.7,13.3,32.67,7.75,8.212,,1930.57,,,2129.27,2129.27,,,7.930,520.9,2.36,8.076,348.4,3.10,8.076,362.2,3.21,,8.076,348.4,3.10,pH/ALK,
7/14/2022,,109,Provincetown,No shell,Bottom water,No Shell,21.3,22.9,32.29,4.65,7.530,,2319.24,,,2326.05,2326.05,Bad,Low pH and high DIC similar to Alk- all CO2Sys outputs bad,7.405,2169.3,0.86,7.552,1511.6,1.18,7.552,1544.2,1.20,7.552,,,,bad,
8/3/2022,,3,Provincetown,No shell,Bottom water,No Shell,24.5,11.5,32.82,7.28,8.133,,1975.27,,,2119.74,2119.74,,,7.760,812.2,1.88,7.926,521.5,2.59,7.925,541.8,2.69,,7.926,521.5,2.59,pH/ALK,
8/14/2022,,813,Provincetown,No shell,Bottom water,No Shell,16.6,22.2,33.03,7.40,7.528,,2433.55,2379.3,,,2379.30,Bad,Low pH and DIC higher than Alk- all CO2Sys outputs bad,7.282,2910.7,0.56,7.607,1325.7,1.13,7.607,1387.7,1.18,7.607,,,,bad,
8/29/2022,,,Provincetown,No shell,Bottom water,No Shell,20.7,20.7,32.55,5.06,7.729,,2116.32,,,2134.41,2134.41,Questionable,Questionable pH temp also bad output from CO2Sys using DIC/ Alk  combo - pH converted to total scale from NBS (7.871),7.443,1805.5,0.84,7.729,870.5,1.41,7.729,907.7,1.47,,7.729,870.5,1.41,pH/ALK,
9/9/2022,,,Provincetown,No shell,Bottom water,outside cage,18.1,,32.45,10.31,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2022,,,Provincetown,No shell,Bottom water,outside cage,21.1,,32.86,11.24,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2022,,208,Provincetown,No shell,Bottom water,No Shell,12.3,18.2,32.97,5.95,7.255,,2436.41,2221.36,,,2221.36,Bad,Low pH and DIC higher than Alk- all CO2Sys outputs bad,6.954,5713.7,0.21,7.326,2381.2,0.48,7.326,2551.6,0.51,7.326,,,,bad,Low pH doesn't match up with HOBO pH logger
