Date,RCP8.5,SD8.5,RCP6,SD6,RCP4.5,SD4.5,RCP2.6,SD2.6
2029.04,0.355,0.271,0.230,0.145,0.338,0.443,0.588,0.387
2029.12,0.358,0.271,0.231,0.145,0.341,0.442,0.589,0.387
2029.20,0.361,0.272,0.233,0.144,0.343,0.442,0.591,0.387
2029.29,0.365,0.272,0.234,0.143,0.346,0.441,0.592,0.387
2029.37,0.368,0.273,0.235,0.143,0.348,0.440,0.593,0.387
2029.45,0.372,0.274,0.236,0.142,0.351,0.440,0.594,0.386
2029.54,0.375,0.275,0.238,0.141,0.353,0.439,0.595,0.386
2029.62,0.379,0.275,0.239,0.141,0.356,0.438,0.596,0.386
2029.71,0.382,0.276,0.240,0.140,0.358,0.437,0.597,0.386
2029.79,0.385,0.277,0.241,0.139,0.361,0.437,0.598,0.386
2029.87,0.389,0.279,0.242,0.139,0.363,0.436,0.599,0.385
2029.96,0.392,0.280,0.243,0.138,0.365,0.435,0.600,0.385
2030.04,0.396,0.281,0.244,0.137,0.368,0.434,0.601,0.385
2030.12,0.400,0.282,0.246,0.137,0.370,0.433,0.602,0.384
2030.20,0.403,0.284,0.247,0.136,0.373,0.432,0.602,0.384
2030.29,0.407,0.285,0.248,0.136,0.375,0.432,0.603,0.383
2030.37,0.410,0.287,0.249,0.135,0.378,0.431,0.604,0.383
2030.45,0.414,0.288,0.250,0.135,0.380,0.430,0.605,0.383
2030.54,0.418,0.290,0.251,0.134,0.383,0.429,0.606,0.382
2030.62,0.422,0.291,0.252,0.134,0.385,0.428,0.606,0.382
2030.71,0.425,0.293,0.253,0.133,0.387,0.427,0.607,0.381
2030.79,0.429,0.295,0.254,0.133,0.390,0.426,0.607,0.380
2030.87,0.433,0.296,0.255,0.132,0.392,0.425,0.608,0.380
2030.96,0.436,0.298,0.256,0.132,0.395,0.424,0.608,0.379
2031.04,0.440,0.300,0.256,0.132,0.397,0.423,0.609,0.379
2031.12,0.444,0.302,0.257,0.132,0.399,0.422,0.609,0.378
2031.20,0.448,0.304,0.258,0.131,0.402,0.421,0.610,0.378
2031.29,0.452,0.306,0.259,0.131,0.404,0.420,0.610,0.377
2031.37,0.455,0.308,0.260,0.131,0.407,0.419,0.611,0.376
2031.45,0.459,0.310,0.260,0.131,0.409,0.418,0.611,0.376
2031.54,0.463,0.312,0.261,0.131,0.412,0.417,0.611,0.375
