Month,Site,Biodeposition chamber,Treatment,Mesocosm,Clam ID,Length,Height,Dry.weight,AFDW,Duration of collection period,TPM,PIM,POM,Perc_organic,ER,OER,IER,Pseudofaeces TPM,Species standardization coefficient,IER_scaled,OER_scaled,IRR,ORR,RR,p,f,SE,IFR,CR,FR,Perc RR,TIR,OFR,OIR,i,AR,AE,Notes
June,Provincetown,11,S,SF2,NL1,41.17,32.72,0.8894,0.7204,2,1.902,0.592,1.310,68.87,0.951,0.655,0.296,0.976,0.76,0.32,0.72,0.35,0.19,0.53,0.35,0.80,0.56,0.67,0.90,3.36,15.89,2.82,2.69,2.50,0.89,1.78,0.71,
June,Provincetown,12,S,SF2,BL,42.18,33.70,1.0014,0.8111,2,1.270,0.338,0.932,73.39,0.635,0.466,0.169,,0.76,0.17,0.47,0.00,0.00,0.00,,0.80,,0.17,0.23,0.85,0.00,0.85,0.68,0.68,0.80,0.21,0.31,
June,Provincetown,13,S,SE3,NL,42.80,34.99,1.0406,0.8429,2,2.982,0.559,2.423,81.25,1.491,1.2115,0.2795,,0.76,0.27,1.18,0.00,0.00,,,,,,,,,,,,,,,
June,Provincetown,14,S,SE3,R,45.32,35.92,1.2500,1.0125,2,2.839,0.638,2.201,77.53,1.4195,1.1005,0.319,,0.76,0.27,0.93,0.00,0.00,0.00,,0.80,,0.27,0.36,1.35,0.00,1.35,1.08,1.08,0.80,0.15,0.14,
June,Provincetown,15,S,SD4,RB,46.60,37.68,1.5503,1.2557,2,1.381,0.368,1.013,73.35,0.6905,0.5065,0.184,1.397,0.76,0.13,0.36,0.14,0.36,0.50,0.71,0.80,0.10,0.27,0.37,1.38,36.29,0.88,1.10,0.75,0.85,0.38,0.51,
June,Provincetown,17,S,SD4,LX,43.55,34.27,1.2030,0.9744,2,2.858,0.856,2.002,70.05,1.429,1.001,0.428,0.341,0.76,0.37,0.87,0.02,0.13,0.15,0.86,0.80,-0.08,0.39,0.53,1.97,7.52,1.82,1.58,1.45,0.80,0.58,0.40,
June,Provincetown,18,N,NC4,NL,49.39,39.59,2.0461,1.6573,2,2.815,0.871,1.944,69.06,1.4075,0.972,0.4355,0.519,0.76,0.25,0.56,0.06,0.09,0.15,0.59,0.80,0.26,0.31,0.43,1.58,9.54,1.43,1.26,1.18,0.82,0.61,0.52,
June,Provincetown,19,S,SB,RX,44.03,34.92,1.2095,0.9797,0.28333,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,
June,Eel Pond,3,N,NA4,B,37.4700,28.9800,0.5018,0.395,1.933,8.643,6.800,1.843,21.32,4.471,0.953,3.517,,0.76,5.94,1.61,0.00,0.00,0.00,,0.40,,5.94,2.11,9.80,0.00,9.80,3.86,3.86,0.39,2.25,0.58,
June,Eel Pond,4,N,NA4,R,43.0600,30.9000,0.5435,0.4301,1.933,2.306,1.678,0.628,27.23,1.193,0.325,0.868,,0.76,1.38,0.52,0.00,0.00,0.00,,0.40,,1.38,0.49,2.28,0.00,2.28,0.90,0.90,0.39,0.38,0.42,
