Date,Sample ID,Site,Stratum,Water/Sed  Temp,Salinity,pH temp,pH,Field Alkalinity,Lab Alkalinity,Alk,DIC ,Notes,,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),,pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),,pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),,pH,pCO2,Omega Ar
3/23/23,423,Eel Pond,Bottom water,7.6,29.51,18.8,7.888,2061.87,,2061.87,1945.26,,,7.994,422.3,1.42,,8.067,349.4,1.65,,8.067,354.0,1.67,,8.067,349.4,1.65
4/19/23,441,Eel Pond,Bottom water,12.7,31.50,15.1,7.926,2204.25,,2204.25,1990.89,,,8.110,334.9,2.42,,7.964,492.6,1.82,,7.964,477.6,1.77,,7.964,492.6,1.82
5/8/23,465,Eel Pond,Bottom water,15.2,30.59,22.7,7.848,2176.99,,2176.99,,,,,,,,7.965,492.0,1.96,,,,,,7.965,492.0,1.96
4/21/22,,Provincetown,Bottom water,15.2,32.91,22.4,8.155,,2208.29,2208.29,1887.32,,,8.252,222.5,3.51,,8.272,210.2,3.63,,8.272,211.5,3.65,,8.252,222.5,3.51
5/18/22,,Provincetown,Bottom water,12.6,31.96,22.0,,,2163.10,2163.10,2025.52,,,7.931,525.5,1.68,,,,,,,,,,7.931,525.5,1.68
6/15/22,,Provincetown,Bottom water,18.6,32.57,19.1,8.038,,,,2428.93,NBS scale,,,,,,,,,,8.045,667.2,2.55,,8.045,667.2,2.55
7/1/22,,Provincetown,Bottom water,21.7,32.67,11.1,8.174,,2141.00,2141.00,1932.26,,,7.950,496.3,2.47,,8.003,429.8,2.72,,8.002,435.7,2.76,,8.003,435.7,2.76
7/14/22,116,Provincetown,Bottom water,21.7,32.95,23.1,7.914,,2153.9,2153.9,2020.98,,,7.767,809.4,1.74,,7.936,518.0,2.43,,7.936,537.0,2.52,,7.936,537.0,2.52
8/14/22,812,Provincetown,Bottom water,16.6,32.99,20.9,7.750,2262.10,,2262.10,2173.42,,,7.712,967.9,1.34,,7.815,744.9,1.66,,7.815,757.9,1.69,,7.815,744.9,1.66
10/25/22,224,Provincetown,Bottom water,16.4,32.77,16.9,8.250,2104.23,,2104.23,1866.01,,,8.100,325.2,2.65,,8.258,207.4,3.50,,8.258,217.4,3.67,,8.258,207.4,3.50
